Sl No,Questions,,
1,What is the weather today  now ?,,
2,weather now ?,,
3,what is the weather ?,,
4,current weather ?,,
5,What is the weather like outside?,,
6,weather forecast of india  any location  any region ?,,
7,whether it rains at 4 pm ?,whether it rains in evening,
8,What’s the weather tomorrow specific day weekend  the next 4 days etc,what will be the weather of tomorrow /specific day/  weekend / the next 4 days etc,weather of tomorrow 
9,what is the whether in London ?,whether in London ?,London weather ?
10,Is it going to rain tomorrow  today?,Whether it rains tomorrow / today ?,
11,Will I need an umbrella tomorrow  next day ?,,
12,will it rain today  tomorrow  any specific day in London ?,,
13,What is the climate ?,,
14,Is it hot cold rain today ?, ,
15,What's it like outside?,,
16,How's the weather,,
17,What's the temperature in Manchester?,,
18,Is it a Beautiful day for a walk?,,
19,What's the weather forecast for the rest of the week?,,
20,show me the weather,,
21,It is a beautiful day at the moment.,,
22,What's the weather forecast this week  month?,,
23,What is the weather like outside ?,,
24,Have you had any sun during the winter this year?,,
25,Is it a dull day at the moment.,,
26,Hey stormy  were  are you ?,,
27,how hot is the sun ?,,
28,how hot is today ?,,
29,weather forecast this week  month ??,,
30,Do I need an umbrella ?,,
