SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,65.40,65.40,61.90,62.65,62.65,62.15,525,101004,6358927.00,
526921,21ST CEN.MGM,B ,Q,8.09,9.00,8.01,8.69,8.71,8.18,38,6137,51852.00,
532628,3I INFOTECH ,B ,Q,14.29,16.40,14.20,16.22,16.22,14.16,7435,2561152,39874481.00,
523395,3M INDIA LTD,B ,Q,3721.00,3774.85,3677.15,3688.65,3690.00,3721.00,29,108,399777.00,
590116,7SEAS TECH  ,B ,Q,39.65,39.65,37.00,39.45,39.50,38.40,5,193,7616.00,
512161,8KMILES     ,T ,Q,45.70,45.70,42.00,42.00,42.00,43.85,2,150,6485.00,
530499,A.K.CAPITAL ,B ,Q,180.00,195.00,180.00,192.30,193.00,179.40,62,1532,289752.00,
500009,A.SARABHAI  ,T ,Q,4.16,4.20,4.05,4.18,4.20,4.00,33,13437,55734.00,
531190,A.V.COTTEX  ,B ,Q,16.85,16.85,16.85,16.85,16.85,16.05,4,1300,21905.00,
533292,A2ZMES      ,B ,Q,90.90,98.45,90.20,92.30,92.30,89.65,11062,1025330,96765708.00,
530027,AADI INDUS L,T ,Q,8.89,8.95,8.49,8.86,8.94,8.67,30,46468,400042.00,
533412,AANJANEYA   ,B ,Q,498.70,499.70,451.25,481.65,481.65,492.60,1509,28354,13841445.00,
524412,AAREY DRUGS ,B ,Q,16.95,16.95,16.25,16.30,16.55,16.55,35,4897,80102.00,
524348,AARTI DRUGS ,B ,Q,82.00,86.30,82.00,85.85,84.70,80.45,193,2639,225573.00,
524208,AARTI INDUST,B ,Q,47.95,49.70,47.65,49.40,49.60,47.60,212,38949,1891565.00,
514274,AARVEE DENIM,B ,Q,30.50,31.40,30.50,31.40,31.05,30.20,14,258,7988.00,
523204,ABAN OFFSHO ,B ,Q,363.00,377.90,363.00,375.70,375.70,360.60,4159,131304,48831827.00,
700099,ABANOFFSH   ,B ,P,506.16,506.16,506.16,506.16,506.16,421.80,1,5,2530.00,
500002,ABB LTD.    ,A ,Q,606.55,623.90,605.90,620.60,620.60,601.15,1282,20202,12431898.00,
500488,ABBOTT (I)  ,B ,Q,1431.00,1471.00,1430.00,1462.25,1470.00,1443.00,154,1872,2711321.00,
520123,ABC INDIA   ,B ,Q,108.00,109.45,107.00,107.90,107.40,110.30,5,224,24326.00,
532937,ABC PAPER   ,B ,Q,27.00,29.50,27.00,27.25,27.25,26.40,4,130,3568.00,
500057,ABCIL       ,B ,Q,80.75,82.00,79.00,81.65,81.65,79.70,56,1182,95156.00,
520155,ABG INFRALOG,T ,Q,222.00,238.00,222.00,232.55,233.00,229.70,32,2057,477386.00,
532682,ABG SHIPYARD,B ,Q,393.90,393.90,391.50,392.45,392.45,392.75,487,35742,14052185.00,
532831,ABHI CORP LT,B ,Q,7.74,7.74,7.00,7.65,7.65,7.25,43,12880,93800.00,
